text,month,day,year,slug,url,source_text
The first automated elections in the Philippines,5,10,2010,first-automated-election,https://asiasociety.org/philippines/philippine-elections-2010,"Casanova, A. (2010, May 10). Philippine Elections 2010. Asia Society."
Manila hostage crisis in Quirino Grandstand,8,23,2010,manila-hostage-crisis,https://www.theguardian.com/world/2010/aug/23/police-storm-manila-hostage-bus,"Meikle, J. (2010, August 23). 'Gunman killed' as police storm Manila hostage bus. The Guardian."
Venus Raj places 4th runner-up in Miss Universe,8,24,2010,venus-raj-4th-runner-up,https://www.pep.ph/lifestyle/23013/maria-venus-raj-is-fourth-runner-up-in-miss-universe-2010-mexico-takes-the-crown,"Santiago, E. (2010, August 24). Maria Venus Raj is fourth runner-up in Miss Universe; Mexico takes the crown. PEP."
Pacquiao defeats Margarito to take WBC super welterweight championship,11,13,2010,pacquiao-margarito,https://www.spin.ph/boxing/margarito-regrets-not-stopping-title-fight-against-pacquiao-in-2010-a793-20200329,"Ramos, G. (2020, March 29). Margarito regrets refusing to stop [...] title fight vs Pacquiao. Spin.ph."
"Reynaldo Dagsa takes a photo, which later becomes viral, of his own killer",1,11,2011,reynaldo-dagsa-killed,https://abcnews.com/International/murdered-filipino-captures-alleged-gunman-camera/story?id=12535914,"Fujita, A. (2011, January 4). Dead Man's Final Photo Captures Killer Aiming Gun at Him. ABC News."
Retired General Angelo Reyes commits suicide in the wake of corruption inquiry,2,8,2011,angelo-reyes-suicide,https://www.rappler.com/newsbreak/121348-troubled-times-angelo-reyes/,"Gloria, G. (2016, February 8). The troubled times of Angie Reyes. Rappler."
Taylor Swift performs in the Philippines for the first time,2,19,2011,taylor-swift-philippines,https://www.gmanetwork.com/news/showbiz/content/213410/taylor-swift-arrives-in-manila-for-one-night-only-concert/story/,"Jimenez, F. (2011, February 19). Taylor Swift arrives in Manila for one-night only concert. GMA News."
Lazada officially launches in the Philippines,3,23,2012,lazada-launch,https://www.techinasia.com/rocket-internet-launches-amazon-clone-lazada-in-southeast-asia,"Lee, T. (2012, March 23). Rocket Internet's Amazon clone Lazada debuts in Southeast Asia. Tech in Asia."
Benham Rise is approved as Philippine territory by the UN,4,12,2012,benham-rise-approved,https://www.philstar.com/headlines/2016/05/18/1584439/benham-rise-philippiness-new-territory,"Fernandez, R. (2016, May 18). Benham Rise: Philippines's 'new territory'. Philstar.com."
Chief Justice Corona is impeached,5,29,2012,corona-impeachment,https://newsinfo.inquirer.net/202929/senate-convicts-corona,"Ager, M. (2012, May 29). Senate votes 20-3 to convict Corona. INQUIRER.net."
Cityhood of Bacoor is approved by plebiscite,6,23,2012,bacoor-cityhood-plebiscite,https://bacoor.gov.ph/historical-background-of-bacoor/,Bacoor Government Center. (n.d.). Historical Background of Bacoor.
Comedy legend Dolphy dies,7,10,2012,dolphy-death,https://www.sunstar.com.ph/more-articles/dolphy-dies-at-83,"Quilingguing, U. (2012, July 10). Dolphy dies at 83. SunStar."
Jesse Robredo dies in a plane crash,8,18,2012,jesse-robredo-plane-crash,https://www.philstar.com/headlines/2012/09/11/847705/jesse-plane-crash-no-foul-play,"Mendez, C. (2012, September 11). Jesse plane crash: No foul play. Philstar.com."
Tito Sotto delivers a speech plagiarized from Robert F. Kennedy,9,5,2012,tito-sotto-plagiarism,https://www.gmanetwork.com/news/topstories/nation/281953/kennedy-daughter-confirms-plagiarism-complaint-vs-sotto/story/,"Panela, S. (2012, November 12). Kennedy daughter confirms plagiarism complaint vs Sotto. GMA News."
Cybercrime Law (RA 10175) is officially signed,9,12,2012,cybercrime-law,https://www.officialgazette.gov.ph/2012/09/12/republic-act-no-10175/,"Republic of the Philippines. (2012, September 12). Republic Act No. 10175. Official Gazette."
